train_fraction,n_train,model_name,roc_auc
0.1,446,logreg,0.6571488584474885
0.1,446,rf,0.7352127853881278
0.2,891,logreg,0.684820091324201
0.2,891,rf,0.7774337899543379
0.4,1783,logreg,0.6967762557077626
0.4,1783,rf,0.8124109589041096
0.6,2674,logreg,0.7227561643835616
0.6,2674,rf,0.8306027397260274
0.8,3566,logreg,0.706544292237443
0.8,3566,rf,0.8299707762557078
1.0,4457,logreg,0.7290356164383561
1.0,4457,rf,0.8426831050228312
